name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Honda City,2007,63500.0,137276,Diesel,Trustmark Dealer,Manual,Second Owner,22.09 kmpl,909 CC,91.04 bhp,87Nm@ 1819rpm,5
Audi A4,2017,473200.0,87549,Petrol,Dealer,Manual,First Owner,18.4 kmpl,2514 CC,242.99 bhp,97Nm@ 2354rpm,5
BMW 3 Series,2022,814600.0,86734,Petrol,Individual,Automatic,Second Owner,12.35 kmpl,2960 CC,249.63 bhp,145Nm@ 2004rpm,5
Toyota Innova,2021,408600.0,36614,Petrol,Dealer,Manual,Second Owner,20.11 kmpl,1605 CC,115.55 bhp,174Nm@ 3576rpm,5
BMW 3 Series,2023,832700.0,113859,Diesel,Individual,Manual,First Owner,12.97 kmpl,2443 CC,270.76 bhp,143Nm@ 1581rpm,5
Skoda Octavia,2019,217900.0,93101,Diesel,Individual,Automatic,Third Owner,22.72 kmpl,1362 CC,98.52 bhp,136Nm@ 3025rpm,7
BMW 3 Series,2023,909400.0,106067,Diesel,Individual,Manual,First Owner,15.87 kmpl,3000 CC,272.33 bhp,60Nm@ 1644rpm,5
Toyota Innova,2006,84900.0,153861,Diesel,Individual,Manual,Second Owner,16.24 kmpl,1463 CC,143.11 bhp,141Nm@ 3149rpm,7
Toyota Innova,2013,134000.0,151161,CNG,Dealer,Manual,Third Owner,22.11 kmpl,1379 CC,133.62 bhp,151Nm@ 2270rpm,5
Toyota Innova,2014,205400.0,99025,Petrol,Dealer,Automatic,First Owner,14.27 kmpl,1160 CC,123.72 bhp,200Nm@ 2517rpm,5
Mahindra XUV500,2015,174900.0,103523,Diesel,Dealer,Manual,Second Owner,17.86 kmpl,1464 CC,99.73 bhp,147Nm@ 2937rpm,8
Audi A4,2008,174300.0,157816,Petrol,Trustmark Dealer,Manual,Second Owner,11.88 kmpl,2669 CC,250.39 bhp,60Nm@ 2501rpm,8
Audi A4,2023,783000.0,74017,Petrol,Individual,Manual,Second Owner,12.43 kmpl,2438 CC,249.84 bhp,155Nm@ 2899rpm,7
Honda City,2007,57400.0,107496,Diesel,Dealer,Automatic,First Owner,23.86 kmpl,967 CC,42.16 bhp,120Nm@ 2926rpm,5
Honda City,2005,52100.0,161686,Petrol,Individual,Manual,First Owner,20.94 kmpl,1249 CC,67.96 bhp,123Nm@ 3480rpm,4
Audi A4,2014,374300.0,83263,Diesel,Individual,Manual,Second Owner,15.09 kmpl,2827 CC,287.03 bhp,136Nm@ 2869rpm,7
Maruti Swift,2005,47800.0,138662,Diesel,Individual,Manual,First Owner,18.96 kmpl,700 CC,74.9 bhp,60Nm@ 1767rpm,5
Ford Ecosport,2014,101500.0,90544,Diesel,Individual,Manual,Fourth & Above Owner,17.35 kmpl,1005 CC,103.86 bhp,166Nm@ 3803rpm,4
Ford Ecosport,2009,68100.0,171647,Petrol,Dealer,Manual,Second Owner,21.96 kmpl,1070 CC,74.45 bhp,187Nm@ 3791rpm,7
Toyota Innova,2005,73400.0,135998,Diesel,Individual,Manual,First Owner,17.69 kmpl,1593 CC,92.14 bhp,231Nm@ 2705rpm,7
Audi A4,2018,628400.0,52953,Petrol,Dealer,Manual,First Owner,13.95 kmpl,2762 CC,244.6 bhp,200Nm@ 1638rpm,5
Audi A4,2014,393000.0,108685,CNG,Dealer,Manual,First Owner,11.59 kmpl,2815 CC,266.9 bhp,136Nm@ 3336rpm,7
Tata Nexon,2014,98700.0,138745,Diesel,Individual,Manual,First Owner,16.31 kmpl,912 CC,54.45 bhp,60Nm@ 1645rpm,5
Honda City,2007,51900.0,149692,Petrol,Individual,Manual,Second Owner,21.1 kmpl,1036 CC,60.39 bhp,141Nm@ 3015rpm,5
Ford Ecosport,2008,69700.0,122289,Diesel,Individual,Manual,First Owner,15.59 kmpl,994 CC,66.62 bhp,78Nm@ 1746rpm,7
Audi A4,2005,102000.0,169508,Diesel,Individual,Manual,Third Owner,15.78 kmpl,2423 CC,263.31 bhp,165Nm@ 2977rpm,5
BMW 3 Series,2020,587900.0,74551,Petrol,Dealer,Manual,Second Owner,9.37 kmpl,2523 CC,264.04 bhp,60Nm@ 1598rpm,5
Hyundai i20,2006,61200.0,122349,Petrol,Individual,Manual,First Owner,18.11 kmpl,1103 CC,68.71 bhp,176Nm@ 2715rpm,5
BMW 3 Series,2016,441300.0,107154,Diesel,Trustmark Dealer,Manual,Second Owner,11.63 kmpl,2844 CC,284.68 bhp,196Nm@ 3928rpm,5
Audi A4,2018,644600.0,41644,Diesel,Individual,Manual,First Owner,13.32 kmpl,2773 CC,259.41 bhp,84Nm@ 2831rpm,5
Skoda Octavia,2015,181000.0,83314,Petrol,Individual,Manual,First Owner,19.96 kmpl,1228 CC,93.8 bhp,133Nm@ 3558rpm,5
Ford Ecosport,2012,97700.0,115269,Diesel,Individual,Manual,Second Owner,14.13 kmpl,986 CC,84.6 bhp,153Nm@ 3781rpm,7
Maruti Swift,2018,155700.0,63692,Petrol,Dealer,Manual,Third Owner,17.17 kmpl,944 CC,65.73 bhp,125Nm@ 1714rpm,5
Skoda Octavia,2021,302300.0,156331,CNG,Individual,Manual,Second Owner,20.18 kmpl,1495 CC,122.88 bhp,118Nm@ 2040rpm,5
Mahindra XUV500,2017,188100.0,101031,CNG,Dealer,Manual,First Owner,18.75 kmpl,885 CC,94.55 bhp,131Nm@ 2256rpm,5
Maruti Swift,2006,48900.0,140564,Diesel,Individual,Manual,First Owner,20.43 kmpl,994 CC,49.46 bhp,196Nm@ 2860rpm,4
Ford Ecosport,2023,213000.0,117922,Petrol,Individual,Manual,Fourth & Above Owner,22.17 kmpl,1076 CC,93.42 bhp,60Nm@ 2145rpm,7
Tata Nexon,2014,112100.0,106387,Petrol,Dealer,Manual,Third Owner,18.18 kmpl,1100 CC,76.29 bhp,60Nm@ 1816rpm,7
Toyota Innova,2006,89400.0,147815,Petrol,Dealer,Manual,First Owner,21.24 kmpl,1696 CC,118.1 bhp,101Nm@ 2666rpm,5
Maruti Swift,2019,160600.0,146852,Diesel,Individual,Manual,Second Owner,17.35 kmpl,1062 CC,64.98 bhp,199Nm@ 3744rpm,5
Ford Ecosport,2015,179900.0,59544,Diesel,Individual,Automatic,First Owner,18.7 kmpl,1330 CC,62.29 bhp,118Nm@ 3678rpm,5
BMW 3 Series,2008,218900.0,125099,Petrol,Dealer,Manual,First Owner,9.48 kmpl,2881 CC,266.7 bhp,199Nm@ 3478rpm,4
Ford Ecosport,2005,40800.0,154159,Petrol,Individual,Manual,Third Owner,12.9 kmpl,1059 CC,63.59 bhp,84Nm@ 1829rpm,5
Toyota Innova,2013,123300.0,140843,LPG,Individual,Manual,Fourth & Above Owner,17.79 kmpl,1654 CC,117.27 bhp,60Nm@ 3445rpm,4
Tata Nexon,2012,122700.0,155136,Diesel,Individual,Manual,First Owner,22.95 kmpl,1200 CC,89.72 bhp,242Nm@ 2262rpm,5
Skoda Octavia,2017,167200.0,140754,Petrol,Individual,Manual,Third Owner,11.91 kmpl,970 CC,129.5 bhp,89Nm@ 3316rpm,7
Toyota Innova,2020,296700.0,83283,CNG,Individual,Automatic,Third Owner,20.16 kmpl,1510 CC,101.74 bhp,327Nm@ 3102rpm,4
Tata Nexon,2020,170200.0,174512,Diesel,Individual,Automatic,Fourth & Above Owner,19.33 kmpl,1413 CC,67.85 bhp,69Nm@ 2050rpm,5
Hyundai i20,2005,38000.0,209487,Diesel,Individual,Manual,Second Owner,17.38 kmpl,939 CC,69.52 bhp,194Nm@ 3301rpm,5
Mahindra XUV500,2010,136200.0,96435,Petrol,Dealer,Manual,First Owner,16.38 kmpl,1370 CC,102.65 bhp,100Nm@ 2373rpm,5
Honda City,2012,132800.0,131463,Petrol,Dealer,Manual,Second Owner,18.56 kmpl,1394 CC,98.27 bhp,96Nm@ 2102rpm,5
Skoda Octavia,2014,152400.0,97471,Diesel,Trustmark Dealer,Manual,First Owner,13.76 kmpl,1343 CC,93.02 bhp,60Nm@ 3165rpm,5
Honda City,2016,142400.0,58279,Diesel,Individual,Manual,Second Owner,19.41 kmpl,968 CC,70.0 bhp,106Nm@ 3956rpm,5
Mahindra XUV500,2020,252100.0,65273,Petrol,Individual,Manual,Second Owner,19.98 kmpl,1253 CC,68.09 bhp,147Nm@ 2203rpm,7
Tata Nexon,2010,117300.0,149667,Diesel,Individual,Automatic,First Owner,17.19 kmpl,1252 CC,110.0 bhp,255Nm@ 3856rpm,5
Honda City,2009,77700.0,128375,Petrol,Individual,Manual,First Owner,20.98 kmpl,700 CC,82.56 bhp,147Nm@ 2114rpm,5
Hyundai i20,2018,163100.0,62945,Diesel,Individual,Manual,Second Owner,22.82 kmpl,766 CC,65.35 bhp,60Nm@ 2943rpm,4
Tata Nexon,2020,201400.0,61659,LPG,Individual,Manual,Third Owner,18.63 kmpl,1294 CC,61.45 bhp,62Nm@ 3879rpm,5
Skoda Octavia,2010,82300.0,148182,Diesel,Individual,Manual,Third Owner,18.7 kmpl,1326 CC,96.34 bhp,179Nm@ 3419rpm,7
Toyota Innova,2022,386900.0,77817,LPG,Dealer,Manual,First Owner,14.21 kmpl,1181 CC,116.98 bhp,157Nm@ 3054rpm,7
BMW 3 Series,2011,210700.0,142225,Petrol,Dealer,Manual,Third Owner,12.52 kmpl,2655 CC,239.04 bhp,232Nm@ 2186rpm,7
Hyundai i20,2009,69200.0,132144,Diesel,Dealer,Automatic,First Owner,22.39 kmpl,700 CC,72.46 bhp,143Nm@ 2323rpm,4
Toyota Innova,2006,82100.0,151113,Diesel,Individual,Manual,First Owner,17.4 kmpl,1422 CC,127.55 bhp,122Nm@ 3119rpm,5
Hyundai i20,2023,265100.0,109723,Petrol,Individual,Manual,First Owner,20.2 kmpl,871 CC,65.85 bhp,239Nm@ 3463rpm,8
BMW 3 Series,2009,180500.0,129132,Petrol,Individual,Manual,Third Owner,20.53 kmpl,2539 CC,255.62 bhp,117Nm@ 3841rpm,5
Hyundai i20,2012,100600.0,122190,Diesel,Dealer,Automatic,First Owner,18.69 kmpl,1116 CC,53.6 bhp,184Nm@ 3631rpm,5
Maruti Swift,2020,232900.0,43260,Petrol,Dealer,Automatic,First Owner,18.93 kmpl,700 CC,64.66 bhp,113Nm@ 3142rpm,5
Audi A4,2021,609200.0,133762,Petrol,Individual,Manual,Second Owner,15.79 kmpl,2623 CC,256.91 bhp,60Nm@ 3505rpm,5
Tata Nexon,2012,116100.0,157177,Petrol,Dealer,Manual,First Owner,17.04 kmpl,906 CC,103.64 bhp,170Nm@ 2190rpm,7
Toyota Innova,2020,403400.0,65197,Petrol,Individual,Manual,First Owner,22.0 kmpl,1580 CC,123.86 bhp,60Nm@ 2592rpm,5
Tata Nexon,2005,63700.0,113288,Diesel,Individual,Manual,First Owner,15.14 kmpl,1113 CC,76.96 bhp,147Nm@ 2095rpm,5
Honda City,2014,116400.0,108777,Petrol,Individual,Manual,First Owner,22.61 kmpl,901 CC,69.16 bhp,151Nm@ 3341rpm,5
Mahindra XUV500,2021,317400.0,112856,LPG,Individual,Manual,First Owner,23.25 kmpl,1557 CC,79.77 bhp,60Nm@ 2549rpm,5
Hyundai i20,2012,67400.0,122770,Diesel,Individual,Manual,Fourth & Above Owner,23.86 kmpl,843 CC,70.12 bhp,174Nm@ 3563rpm,5
Skoda Octavia,2011,141000.0,100643,CNG,Individual,Automatic,First Owner,21.05 kmpl,1111 CC,105.78 bhp,180Nm@ 2791rpm,7
Tata Nexon,2019,220900.0,57315,Diesel,Individual,Manual,Second Owner,21.34 kmpl,921 CC,75.38 bhp,78Nm@ 2800rpm,5
Mahindra XUV500,2014,110100.0,112341,Petrol,Individual,Manual,Third Owner,24.69 kmpl,1437 CC,64.96 bhp,221Nm@ 3499rpm,7
Hyundai i20,2021,310900.0,69307,Petrol,Individual,Manual,Second Owner,24.02 kmpl,1125 CC,92.7 bhp,193Nm@ 1752rpm,5
Maruti Swift,2011,97900.0,111810,CNG,Individual,Manual,Second Owner,22.59 kmpl,928 CC,85.1 bhp,166Nm@ 2677rpm,5
Tata Nexon,2022,308300.0,56198,CNG,Individual,Manual,First Owner,22.91 kmpl,1180 CC,65.18 bhp,106Nm@ 2269rpm,5
Hyundai i20,2011,93100.0,112855,Diesel,Individual,Manual,First Owner,29.28 kmpl,953 CC,72.31 bhp,198Nm@ 3949rpm,7
Honda City,2018,163400.0,106137,Petrol,Dealer,Manual,First Owner,19.01 kmpl,893 CC,67.44 bhp,98Nm@ 3253rpm,7
Honda City,2020,277700.0,79882,Diesel,Individual,Manual,Second Owner,19.4 kmpl,1304 CC,95.93 bhp,176Nm@ 1747rpm,7
Toyota Innova,2020,364000.0,109170,CNG,Individual,Manual,First Owner,23.75 kmpl,1811 CC,117.32 bhp,200Nm@ 3452rpm,7
Honda City,2023,262400.0,102589,Petrol,Individual,Manual,Second Owner,19.59 kmpl,749 CC,84.97 bhp,140Nm@ 3943rpm,7
BMW 3 Series,2014,368900.0,116213,Diesel,Individual,Manual,First Owner,12.9 kmpl,2400 CC,277.4 bhp,135Nm@ 3889rpm,5
Honda City,2019,216200.0,85571,Petrol,Individual,Manual,First Owner,25.03 kmpl,1061 CC,80.45 bhp,100Nm@ 3978rpm,7
Honda City,2010,87600.0,141342,Diesel,Individual,Manual,Second Owner,17.57 kmpl,1322 CC,88.83 bhp,86Nm@ 3029rpm,4
Hyundai i20,2012,74800.0,189023,Diesel,Dealer,Manual,First Owner,20.77 kmpl,837 CC,62.93 bhp,188Nm@ 3156rpm,5
Audi A4,2013,367500.0,136579,Petrol,Individual,Manual,First Owner,18.41 kmpl,3000 CC,294.09 bhp,164Nm@ 1803rpm,5
Toyota Innova,2005,73000.0,142719,Petrol,Individual,Manual,First Owner,13.07 kmpl,1584 CC,103.5 bhp,72Nm@ 3841rpm,5
Maruti Swift,2014,107700.0,75958,Petrol,Individual,Manual,Second Owner,20.38 kmpl,961 CC,56.53 bhp,73Nm@ 2092rpm,7
Mahindra XUV500,2023,431900.0,50402,Petrol,Dealer,Manual,First Owner,15.67 kmpl,1042 CC,115.81 bhp,162Nm@ 3974rpm,5
Toyota Innova,2013,145900.0,125105,Petrol,Individual,Manual,Third Owner,20.99 kmpl,1520 CC,123.99 bhp,176Nm@ 2422rpm,5
Tata Nexon,2023,250400.0,134862,Diesel,Individual,Manual,Second Owner,20.56 kmpl,1218 CC,60.59 bhp,207Nm@ 3651rpm,5
Skoda Octavia,2019,244500.0,116567,Diesel,Dealer,Manual,First Owner,15.47 kmpl,1441 CC,79.51 bhp,213Nm@ 2859rpm,5
Honda City,2017,124100.0,176107,CNG,Trustmark Dealer,Manual,Second Owner,14.07 kmpl,1088 CC,77.71 bhp,180Nm@ 3628rpm,5
Audi A4,2021,916600.0,30160,Petrol,Individual,Manual,First Owner,12.52 kmpl,2932 CC,271.74 bhp,103Nm@ 2269rpm,5
Mahindra XUV500,2010,78800.0,152254,Petrol,Individual,Manual,Third Owner,19.1 kmpl,1054 CC,107.47 bhp,224Nm@ 1943rpm,7
Tata Nexon,2015,149500.0,66782,Diesel,Individual,Manual,First Owner,22.42 kmpl,969 CC,61.21 bhp,91Nm@ 2703rpm,5
BMW 3 Series,2008,190200.0,120233,Diesel,Individual,Manual,Second Owner,15.8 kmpl,2591 CC,273.53 bhp,163Nm@ 2047rpm,8
Maruti Swift,2008,45100.0,179793,CNG,Trustmark Dealer,Automatic,First Owner,19.83 kmpl,791 CC,35.0 bhp,136Nm@ 2753rpm,7
Ford Ecosport,2020,332400.0,58567,Diesel,Dealer,Manual,First Owner,18.82 kmpl,1546 CC,82.24 bhp,100Nm@ 2518rpm,5
Ford Ecosport,2021,330500.0,500,CNG,Individual,Manual,Second Owner,18.82 kmpl,1243 CC,82.93 bhp,97Nm@ 2113rpm,5
Honda City,2009,68600.0,112873,Petrol,Individual,Manual,Second Owner,16.98 kmpl,913 CC,70.77 bhp,181Nm@ 3638rpm,5
Mahindra XUV500,2017,157700.0,131557,Diesel,Individual,Manual,Second Owner,17.79 kmpl,1217 CC,86.73 bhp,72Nm@ 3207rpm,5
Hyundai i20,2009,68800.0,149345,Diesel,Trustmark Dealer,Manual,Second Owner,19.81 kmpl,1133 CC,69.44 bhp,265Nm@ 1813rpm,5
Toyota Innova,2012,180200.0,62877,Petrol,Dealer,Manual,First Owner,19.78 kmpl,1406 CC,135.52 bhp,188Nm@ 3185rpm,5
Audi A4,2022,848300.0,59161,Diesel,Trustmark Dealer,Manual,First Owner,12.01 kmpl,2557 CC,258.05 bhp,242Nm@ 2632rpm,5
Audi A4,2006,160400.0,153247,Diesel,Individual,Manual,First Owner,12.23 kmpl,2457 CC,248.94 bhp,221Nm@ 3423rpm,5
Honda City,2011,76700.0,151159,Diesel,Dealer,Manual,Fourth & Above Owner,22.53 kmpl,1177 CC,93.55 bhp,99Nm@ 2800rpm,7
Honda City,2020,296300.0,77063,Petrol,Dealer,Manual,First Owner,21.56 kmpl,1187 CC,94.42 bhp,135Nm@ 3457rpm,5
Audi A4,2023,978000.0,92182,Diesel,Dealer,Manual,First Owner,15.8 kmpl,2642 CC,242.47 bhp,215Nm@ 3623rpm,7
Audi A4,2019,407900.0,183266,CNG,Individual,Manual,Second Owner,16.53 kmpl,2378 CC,265.92 bhp,192Nm@ 1953rpm,5
Honda City,2017,143300.0,62929,Diesel,Individual,Manual,Second Owner,24.95 kmpl,700 CC,77.33 bhp,60Nm@ 1674rpm,7
Honda City,2005,82200.0,72149,Petrol,Individual,Manual,First Owner,15.81 kmpl,1136 CC,106.51 bhp,109Nm@ 2575rpm,7
Skoda Octavia,2015,191000.0,104162,CNG,Trustmark Dealer,Automatic,First Owner,21.29 kmpl,1232 CC,98.13 bhp,83Nm@ 3725rpm,7
Ford Ecosport,2010,113000.0,99454,Diesel,Dealer,Manual,First Owner,16.73 kmpl,1291 CC,94.96 bhp,116Nm@ 2583rpm,5
Toyota Innova,2016,241100.0,125317,Diesel,Dealer,Manual,Second Owner,16.82 kmpl,1887 CC,120.07 bhp,125Nm@ 2727rpm,5
BMW 3 Series,2020,669100.0,40334,Petrol,Dealer,Automatic,Third Owner,17.95 kmpl,2432 CC,278.7 bhp,165Nm@ 1957rpm,7
Maruti Swift,2021,184300.0,91645,Petrol,Individual,Automatic,Third Owner,16.0 kmpl,850 CC,65.0 bhp,182Nm@ 3837rpm,7
BMW 3 Series,2023,872100.0,116882,Diesel,Individual,Manual,First Owner,22.92 kmpl,2575 CC,258.58 bhp,224Nm@ 2299rpm,5
Maruti Swift,2021,171500.0,83084,Petrol,Individual,Manual,Second Owner,19.58 kmpl,732 CC,54.03 bhp,60Nm@ 2514rpm,5
Tata Nexon,2014,143100.0,99991,Diesel,Dealer,Manual,First Owner,19.49 kmpl,1228 CC,75.86 bhp,150Nm@ 2751rpm,7
Audi A4,2020,773600.0,90727,Diesel,Individual,Manual,First Owner,16.94 kmpl,2845 CC,283.09 bhp,115Nm@ 1819rpm,7
Honda City,2019,252500.0,65712,Diesel,Dealer,Manual,Second Owner,20.4 kmpl,1536 CC,82.29 bhp,156Nm@ 2570rpm,8
Mahindra XUV500,2018,303400.0,18648,Diesel,Individual,Manual,Second Owner,18.36 kmpl,1367 CC,113.27 bhp,107Nm@ 3348rpm,5
Honda City,2010,78400.0,139823,Diesel,Individual,Manual,Second Owner,15.39 kmpl,700 CC,103.85 bhp,184Nm@ 2091rpm,5
Audi A4,2011,271800.0,99736,Petrol,Individual,Manual,Second Owner,11.31 kmpl,2601 CC,264.26 bhp,206Nm@ 3624rpm,7
Toyota Innova,2013,158500.0,76441,Petrol,Dealer,Manual,Third Owner,17.18 kmpl,1214 CC,150.05 bhp,133Nm@ 3562rpm,7
Hyundai i20,2020,180800.0,107035,Petrol,Dealer,Manual,First Owner,18.74 kmpl,791 CC,57.48 bhp,197Nm@ 2056rpm,5
Maruti Swift,2016,128600.0,55764,Diesel,Individual,Manual,First Owner,22.9 kmpl,1017 CC,35.0 bhp,65Nm@ 1875rpm,7
Toyota Innova,2015,198400.0,134106,Petrol,Individual,Manual,Second Owner,20.72 kmpl,1987 CC,103.61 bhp,252Nm@ 3522rpm,5
Hyundai i20,2018,122800.0,88888,Diesel,Individual,Manual,Fourth & Above Owner,17.86 kmpl,700 CC,81.9 bhp,185Nm@ 1646rpm,7
Mahindra XUV500,2020,275000.0,80063,Petrol,Individual,Manual,Second Owner,14.45 kmpl,1195 CC,103.26 bhp,135Nm@ 2317rpm,7
BMW 3 Series,2009,208800.0,156809,Petrol,Individual,Automatic,Second Owner,10.7 kmpl,2661 CC,266.83 bhp,118Nm@ 3092rpm,7
Mahindra XUV500,2008,81400.0,122837,Diesel,Dealer,Manual,Second Owner,26.61 kmpl,1296 CC,92.24 bhp,140Nm@ 3286rpm,7
BMW 3 Series,2017,459400.0,106526,Petrol,Individual,Automatic,Third Owner,16.3 kmpl,2759 CC,271.14 bhp,130Nm@ 3555rpm,5
Mahindra XUV500,2021,386200.0,66548,Petrol,Dealer,Manual,First Owner,17.49 kmpl,1381 CC,91.99 bhp,60Nm@ 2137rpm,5
Mahindra XUV500,2006,54700.0,142655,Petrol,Individual,Manual,Second Owner,21.56 kmpl,882 CC,88.96 bhp,176Nm@ 3026rpm,7
Honda City,2017,187600.0,113815,Diesel,Trustmark Dealer,Manual,First Owner,22.82 kmpl,959 CC,80.13 bhp,231Nm@ 2474rpm,8
Skoda Octavia,2019,292000.0,72010,Diesel,Dealer,Manual,First Owner,23.0 kmpl,1039 CC,121.3 bhp,174Nm@ 3727rpm,5
Maruti Swift,2014,92000.0,76466,Diesel,Individual,Manual,First Owner,16.79 kmpl,700 CC,53.55 bhp,182Nm@ 3198rpm,5
Honda City,2006,64800.0,121700,Diesel,Dealer,Manual,First Owner,17.16 kmpl,933 CC,84.75 bhp,169Nm@ 2024rpm,7
Skoda Octavia,2006,62300.0,151139,Petrol,Trustmark Dealer,Manual,Second Owner,21.93 kmpl,1195 CC,104.52 bhp,169Nm@ 3987rpm,4
Skoda Octavia,2011,126800.0,118844,Petrol,Individual,Manual,Second Owner,17.13 kmpl,1327 CC,127.71 bhp,203Nm@ 3306rpm,7
Ford Ecosport,2010,120100.0,4097,Petrol,Individual,Manual,First Owner,13.84 kmpl,1066 CC,65.2 bhp,130Nm@ 1878rpm,7
Skoda Octavia,2021,344900.0,16580,Petrol,Individual,Manual,First Owner,15.79 kmpl,982 CC,106.48 bhp,265Nm@ 3485rpm,5
Honda City,2020,263000.0,2155,Diesel,Dealer,Manual,Third Owner,17.51 kmpl,1080 CC,82.47 bhp,63Nm@ 2253rpm,5
Skoda Octavia,2020,229700.0,142085,LPG,Dealer,Manual,Second Owner,17.84 kmpl,1040 CC,112.04 bhp,180Nm@ 3686rpm,7
Tata Nexon,2019,190900.0,90766,CNG,Individual,Manual,Second Owner,18.49 kmpl,1113 CC,83.69 bhp,176Nm@ 2125rpm,7
Tata Nexon,2014,132000.0,171360,Petrol,Individual,Manual,First Owner,20.55 kmpl,1265 CC,75.35 bhp,171Nm@ 2264rpm,5
Hyundai i20,2005,46900.0,145661,Diesel,Dealer,Manual,First Owner,14.59 kmpl,840 CC,66.17 bhp,137Nm@ 3792rpm,7
Audi A4,2006,151400.0,141466,Petrol,Individual,Manual,Second Owner,21.91 kmpl,2787 CC,262.5 bhp,147Nm@ 1604rpm,7
Audi A4,2016,418800.0,24151,Diesel,Trustmark Dealer,Manual,Third Owner,11.27 kmpl,3000 CC,254.43 bhp,92Nm@ 2517rpm,7
Audi A4,2019,560200.0,144935,Petrol,Trustmark Dealer,Manual,First Owner,13.13 kmpl,2723 CC,264.84 bhp,198Nm@ 2522rpm,5
Mahindra XUV500,2006,60400.0,158300,Petrol,Individual,Manual,Second Owner,20.78 kmpl,1075 CC,106.24 bhp,162Nm@ 2820rpm,5
Hyundai i20,2023,188900.0,81776,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner,19.39 kmpl,941 CC,59.17 bhp,60Nm@ 3580rpm,5
Tata Nexon,2017,189600.0,39398,CNG,Individual,Manual,First Owner,20.4 kmpl,803 CC,74.45 bhp,173Nm@ 2389rpm,5
Skoda Octavia,2006,86300.0,114941,Diesel,Dealer,Automatic,First Owner,21.47 kmpl,1241 CC,112.0 bhp,342Nm@ 2716rpm,4
Tata Nexon,2018,248200.0,83034,Diesel,Dealer,Manual,First Owner,23.18 kmpl,1268 CC,86.05 bhp,121Nm@ 2817rpm,7
Ford Ecosport,2005,67100.0,98213,Diesel,Individual,Manual,First Owner,20.04 kmpl,1242 CC,71.7 bhp,174Nm@ 2182rpm,4
Ford Ecosport,2019,252200.0,77019,CNG,Dealer,Automatic,Third Owner,18.58 kmpl,1512 CC,90.39 bhp,282Nm@ 1651rpm,5
Skoda Octavia,2005,63900.0,147052,Diesel,Dealer,Manual,Second Owner,19.77 kmpl,1197 CC,106.46 bhp,161Nm@ 2984rpm,5
Maruti Swift,2008,67200.0,114267,Diesel,Individual,Manual,First Owner,20.72 kmpl,700 CC,74.5 bhp,121Nm@ 3615rpm,7
Toyota Innova,2017,204100.0,71535,Diesel,Individual,Manual,Third Owner,22.68 kmpl,1113 CC,134.98 bhp,96Nm@ 3977rpm,5
BMW 3 Series,2019,694700.0,30751,Diesel,Individual,Manual,First Owner,13.19 kmpl,2791 CC,260.36 bhp,125Nm@ 2634rpm,7
Skoda Octavia,2005,62900.0,214332,Petrol,Dealer,Manual,First Owner,15.51 kmpl,1254 CC,114.63 bhp,99Nm@ 3538rpm,5
Ford Ecosport,2021,270600.0,85999,Diesel,Individual,Manual,First Owner,21.12 kmpl,1155 CC,66.36 bhp,297Nm@ 3011rpm,5
Tata Nexon,2021,275800.0,54823,Petrol,Dealer,Automatic,Second Owner,19.51 kmpl,1081 CC,79.88 bhp,181Nm@ 2346rpm,7
Tata Nexon,2005,49500.0,227420,Petrol,Dealer,Manual,First Owner,19.01 kmpl,1249 CC,87.05 bhp,237Nm@ 2713rpm,5
Ford Ecosport,2010,80600.0,153102,CNG,Individual,Manual,First Owner,21.75 kmpl,964 CC,77.45 bhp,92Nm@ 3019rpm,5
Toyota Innova,2021,392100.0,90005,Diesel,Trustmark Dealer,Automatic,First Owner,18.85 kmpl,1369 CC,99.31 bhp,258Nm@ 2946rpm,5
Toyota Innova,2016,213100.0,151466,Diesel,Individual,Manual,First Owner,15.73 kmpl,1441 CC,117.23 bhp,60Nm@ 3307rpm,5
Hyundai i20,2018,177500.0,44107,Diesel,Individual,Manual,Second Owner,19.39 kmpl,832 CC,73.5 bhp,200Nm@ 2412rpm,5
Toyota Innova,2017,370700.0,52581,Diesel,Individual,Automatic,First Owner,18.03 kmpl,1818 CC,137.58 bhp,127Nm@ 2225rpm,7
Toyota Innova,2008,76000.0,130012,Diesel,Individual,Manual,Third Owner,15.61 kmpl,1149 CC,110.6 bhp,172Nm@ 2936rpm,7
Honda City,2013,133200.0,71217,Petrol,Trustmark Dealer,Automatic,First Owner,14.56 kmpl,1000 CC,65.45 bhp,198Nm@ 2786rpm,5
Audi A4,2021,660800.0,83241,Diesel,Individual,Manual,Second Owner,17.73 kmpl,2582 CC,241.2 bhp,145Nm@ 3190rpm,5
BMW 3 Series,2008,232700.0,149316,Petrol,Individual,Automatic,First Owner,9.16 kmpl,2788 CC,262.73 bhp,164Nm@ 2880rpm,7
Toyota Innova,2019,320800.0,7302,Petrol,Individual,Manual,Third Owner,23.27 kmpl,1838 CC,97.27 bhp,115Nm@ 3787rpm,5
BMW 3 Series,2021,763300.0,95677,Petrol,Individual,Manual,First Owner,14.97 kmpl,2613 CC,284.91 bhp,104Nm@ 3181rpm,5
Skoda Octavia,2014,174500.0,96382,Petrol,Dealer,Manual,First Owner,17.3 kmpl,1188 CC,111.15 bhp,139Nm@ 2592rpm,5
